dzr_sng_id,dzr_sng_id_old,MSD_sng_id,MSD_track_id,artist_name,track_name,sample_size,sample_rate,valence,arousal,label
215475,814317,SOHGLRR12A8C139D15,TRIWEQL128F4277E16,Sarah Slean,Mary,677376,22050,-0.780962317853,-0.789480237121,10
216237,216237,SOSMRCK12AB0182619,TRWKHHA128F932CE8D,CALLA,Strangler,677376,22050,-1.17664007943,-0.31471974969,8
364962,364962,SOITJIQ12A8C13A291,TRPFENS128F92DF6C6,Boney M,Rasputin,677376,22050,1.54125682076,1.70416465317,2
365067,365137,SOLMKTS12A8AE46C27,TRDHBPQ128F425EA1E,Leona Lewis,Bleeding Love,677376,22050,-0.569752257537,0.0319014993861,7
365070,365070,SOLBFZJ12A8C1445B8,TRBQSQG12903CBD7D3,Leona Lewis,Better in time,677376,22050,-0.981530010788,0.62097324981,6
365071,2484999,SOJRURA12A8AE46C43,TRQAIGQ128F425EA25,Leona Lewis,Yesterday,677376,22050,-0.336165937602,1.09112441212,4
365072,2485000,SOAIGGC12A8AE46C4F,TRMCERZ128F425EA28,Leona Lewis,Take A Bow,677376,22050,-0.576301406694,0.972818400693,5
531834,531834,SONGPYO12A58A7A419,TRMHIBW128F42AF9CF,Charley Pride,I Can't Believe That You've Stopped Loving Me,677376,22050,-1.93524985679,-0.655809808621,8
531935,531935,SOHJJVS12AC4689CC4,TRNWHIH12903D16860,Kris Kristofferson,Me and Bobby McGee,677376,22050,-1.05657234488,0.736206377828,6
531937,531937,SONQXBK12A8C133169,TRUWYNZ128F427023B,Kris Kristofferson,Sunday Mornin' Comin' Down,677376,22050,-1.48226704009,-0.440707969658,8
531979,15481406,SOKDGCC12AF72A0C32,TRWEJDT128F92FB81C,Alan Jackson,I'll Go On Loving You,677376,22050,1.07190113117,0.846830180724,1
531986,90971745,SOAQJDZ12A8C13BA8D,TRRNGZF128F428D11E,Diamond Rio,Meet In The Middle,677376,22050,1.07190113117,0.846830180724,1
531988,629425,SOTCVUL12A8C138830,TRWYZNC128F4296C14,Diamond Rio,Beautiful Mess,677376,22050,-1.93524985679,-0.655809808621,8
531993,531993,SOWBJGW12A8C13660E,TRGHBQI128F428836A,Diamond Rio,You're Gone,677376,22050,-1.74423300637,1.33541864352,6
532257,14886579,SOKLCCR12AC4689588,TRVYZLX12903D04EA7,Meat Loaf,Dead Ringer For Love,677376,22050,1.54125682076,1.70416465317,2
532284,532284,SOQCEJU12A8C13220B,TRYMZQJ128F426A0E7,Xzibit,Get Your Walk On,677376,22050,0.37332522108,-0.923150665621,12
533164,533164,SOFDPOX12A8C13780D,TRJEBIT128F933A400,Patty Loveless,How Can I Help You Say Goodbye,677376,22050,-1.63689972852,-0.459145270141,8
533166,2847633,SOTPUJP12AAF3B49C5,TRMIXZE128F930779D,Patty Loveless,Here I Am,677376,22050,-1.48772466439,-0.360813000897,8
533917,533917,SODOFVF12A8C1389C0,TRJQZJA128F428CFF0,Carly Simon,You Belong To Me,677376,22050,-1.49591110083,0.0401982846033,7
533922,533922,SOMYOSK12AB01801DC,TRWBUCU128F932A3B5,Crash Test Dummies,Just Chillin',677376,22050,0.678952181743,-2.33360415255,12
533924,533924,SOSAZAT12AB01801EF,TRFAGGM128F932A3BB,Crash Test Dummies,Get You In The Morning,677376,22050,0.984579142406,-0.0105042917242,15
533925,533925,SOLQDBM12AB01801FE,TRVKSPJ128F932A3BF,Crash Test Dummies,Just Shoot Me_ Baby,677376,22050,0.37332522108,-0.923150665621,12
533978,533978,SODPSSR12A8C137798,TRYKTFR128F4289104,Alan Jackson,Where I Come From,677376,22050,0.815392789182,0.662457175897,1
533990,533990,SOGWNGZ12A58A78E7D,TRREWDK128F425A323,Will Young,Love The One You're With,677376,22050,0.815392789182,0.662457175897,1
534001,534001,SOWEUBM12AB0180208,TRUNKIT128F932A3C1,Crash Test Dummies,A Little Something,677376,22050,0.37332522108,-0.923150665621,12
534014,534014,SOLVXHL12AB017CE5E,TRIVJRS128F92EADEA,Alan Jackson,Pop A Top,677376,22050,0.815392789182,0.662457175897,1
534070,3016899,SOLITMH12A58A78F01,TRAFSIP128F9301AE9,Faithless,Six,677376,22050,0.37332522108,-0.923150665621,12
534268,534268,SODNNXL12A58A7B9BC,TRUDSEY128F425AC3C,Marilyn Horne,All Through the Night,677376,22050,1.07190113117,0.846830180724,1
534464,534464,SOSAYWN12A8C133408,TRFGVEO128F42636DF,Journey,Faithfully,677376,22050,-0.36345405909,-0.487569441716,10
534465,534465,SOGSVJU12A8C132AE9,TRRWYRM128F426A5C5,Journey,I'll Be Alright Without You,677376,22050,-1.65509180951,0.164650062862,7
534466,534466,SOAGSVB12A8C132D4E,TRFCKLE128F426EA72,Journey,Any Way You Want It,677376,22050,1.17832480497,1.18331091453,2
534503,534503,SOLUONV12A8C1308C7,TRMUJKH128F4267E7E,Sly & The Family Stone,Stand!,677376,22050,0.979121518109,0.588707973965,1
534506,534506,SOKDYXV12A8C135C47,TRWPHRC128F92DED4F,Sly & The Family Stone,Somebody'S Watching You,677376,22050,1.54125682076,1.70416465317,2
534508,534508,SOCYWKJ12A8C135C53,TRBZJVN12903D03BC1,Sly & The Family Stone,Everyday People,677376,22050,1.11374291745,0.785372512445,1
534510,851905,SOMITZT12AAF3B27E5,TRGVWAT128F92DED56,Sly & The Family Stone,You Can Make It If You Try,677376,22050,1.28474847877,1.43682379617,2
534574,534574,SOVDXOX12A8C136B86,TRGFSDZ128F930BC0A,Sly & The Family Stone,Dance To The Music,677376,22050,1.18105361712,1.39073054497,2
534752,534752,SOIKPSK12A8C13DA77,TRDIAFN128F42B31B9,Mario Vazquez,Gallery,677376,22050,-0.568660732678,-0.049222622738,8
534756,13178839,SOGDAFT12A8C13FE07,TRLHCGP128F42B31C2,Mario Vazquez,We Gon' Last,677376,22050,0.37332522108,-0.923150665621,12
534847,534847,SOVMVFH12AB0184F26,TRFBNQX128F92E3A87,Daughtry,Crashed,677376,22050,0.682590597943,0.75464367831,2
534850,534850,SOLIGOA12AF72A29D6,TRTJHHW128F92C231E,Daughtry,Breakdown,677376,22050,-1.04019947199,-0.0658161931725,8
534852,13705125,SOHZKJM12AB017DDC8,TRBEHEG128F930F5B1,Daughtry,Back Again,677376,22050,-0.292504943222,1.10034306236,4
534853,534853,SOJLGOI12D021989B7,TROOUEH128F92E3AA0,Daughtry,All These Lives,677376,22050,-0.450776047851,1.12799901309,4
535067,535067,SOHUGOT12A8C1420D3,TRSFRAE128F92EDF7B,HELLYEAH,Thank You,677376,22050,-1.93524985679,-0.655809808621,8
535204,535204,SOXOFZV12A8AE473FB,TRQGUZM128F425B7F6,The Hoosiers,Worried About Ray,677376,22050,1.17832480497,1.18331091453,2
536481,536481,SOWOMMY127F8096DF9,TRCPOGU128F425BBFB,MGMT,Time To Pretend,677376,22050,0.957291020918,0.390506993776,0
536483,536483,SOBAHBY12CF5CFD5A8,TRBIGSQ128F425DEED,MGMT,The Youth,677376,22050,0.416986215461,0.109338161414,0
536484,536484,SOSOXJK12A8AE47120,TRNZOOI128F425D68F,MGMT,Electric Feel,677376,22050,0.957291020918,0.390506993776,0
536486,536486,SOPUYEJ12AF729C974,TRHRFIN128F425DEF1,MGMT,4th Dimensional Transition,677376,22050,0.815392789182,0.662457175897,1
536488,536488,SOTAAHE12A8AE48C5C,TRBOCQJ128F425DEF4,MGMT,Of Moons_ Birds & Monsters,677376,22050,0.815392789182,0.662457175897,1
